keyword,tier,tier_matching_rule,subcategory,job_posting_skill_name
ML,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Machine Learning
ml/ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Machine Learning
ai/ml,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Machine Learning
machine learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Machine Learning
AI,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GeneralAI,Artificial Intelligence
artificial intelligence,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Artificial Intelligence
NLP,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Natural Language Processing (NLP)
natural language processing,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Natural Language Processing (NLP)
computer vision,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Computer Vision
zero shot learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Zero Shot Learning
zero shot classification,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Zero Shot Learning
rweka,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Rweka
agentgpt,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,AgentGPT
doc2vec,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Doc2vec
few shot learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Few Shot Learning
few shot prompting,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Few Shot Learning
fasttext,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,fastText
hugging face,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Hugging Face Transformers
HF transformers,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Hugging Face Transformers
HF transformer,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Hugging Face Transformers
confusion matrix,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Confusion Matrix
crewai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,CrewAI
seq2seq,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Seq2Seq
sequence to sequence,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Seq2Seq
ai generated code,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,AI-Generated Code
ai-generated code,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,AI-Generated Code
ai code generation,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,AI-Generated Code
hyperparameter optimization,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Hyperparameter Optimization
agentic system,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Agent,Agentic Systems
standard ml librar,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Standard ML Library
SML Basis Library,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Standard ML Library
pytorch,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,PyTorch Lightning
rekognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Amazon Rekognition
neural architecture compression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Neural Architecture Compression
aws inferentia,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,AWS Inferentia
CNTK,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Microsoft Cognitive Toolkit (CNTK)
microsoft cognitive toolkit,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Microsoft Cognitive Toolkit (CNTK)
dbscan,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Dbscan
word2vec,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Word2Vec Models
catboost,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,CatBoost (Machine Learning Library)
caffe2,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Caffe2
mxnet,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Apache MXNet
feature learning,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Feature Learning
feature representation learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Feature Learning
RLHF,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Reinforcement Learning from Human Feedback (RLHF)
reinforcement learning from human feedback,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Reinforcement Learning from Human Feedback (RLHF)
openai gym,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,OpenAI Gym
BERT,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,BERT (NLP Model)
bert nlp,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,BERT (NLP Model)
bidirectional encoder representations from transformer,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,BERT (NLP Model)
adversarial ml,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Adversarial Machine Learning
adversarial training,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Adversarial Machine Learning
vowpal wabbit,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Vowpal Wabbit
attention mechanism,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Attention Mechanisms
retrieval augmented generation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Retrieval Augmented Generation
retrieval-augmented generation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Retrieval Augmented Generation
ONNX,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Open Neural Network Exchange (ONNX)
neural net,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Open Neural Network Exchange (ONNX)
open neural network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Open Neural Network Exchange (ONNX)
LSTM,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Long Short-Term Memory (LSTM)
long short-term memory,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Long Short-Term Memory (LSTM)
weaviate,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Weaviate
small language model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Small Language Model
lightweight language model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Small Language Model
compact language model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Small Language Model
text summarization,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Text Summarization
pos tagging,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Part-of-Speech Tagging
part-of-speech tagging,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Part-of-Speech Tagging
deepspeech,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,DeepSpeech
autoencoders,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Autoencoders
autoencoder,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Autoencoders
spacy,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,SpaCy (NLP Software)
word embedding,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Word Embedding
neural architecture,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Neural Architecture Search (NAS)
automated architecture search,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Neural Architecture Search (NAS)
keras,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Keras (Neural Network Library)
semantic parsing,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Semantic Parsing
llamaindex,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,LlamaIndex
xgboost,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Xgboost
DRL,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Deep Reinforcement Learning (DRL)
reinforcement learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Deep Reinforcement Learning (DRL)
ethical ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Ethical AI
ai safety,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,AI Safety
knowledge distillation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Knowledge Distillation
model distillation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Knowledge Distillation
amazon personalize,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Amazon Personalize
multimodal model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Multimodal Models
multi-modal model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Multimodal Models
multimodal LLM,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Multimodal Models
multi-modal LLM,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Multimodal Models
multi-modal ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Multimodal Models
pycaret,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,PyCaret
semantic kernel,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Semantic Kernel
kernel method,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Kernel Methods
kernel-based method,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Kernel Methods
ai/ml inference,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,AI/ML Inference
amazon transcribe,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Amazon Transcribe
neuro-symbolic ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Neuro-Symbolic AI
neurosymbolic ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Neuro-Symbolic AI
mlflow,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,MLflow
ai copywriting,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,AI Copywriting
ai-assisted copywriting,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,AI Copywriting
CNNs,tier1,Case-sensitive matching; keyword cannot be part of a longer word,CV,Convolutional Neural Networks (CNN)
neural network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Convolutional Neural Networks (CNN)
langchain,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,LangChain
LCEL,tier1,Case-sensitive matching; keyword cannot be part of a longer word,Agent,LangChain
theano,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Theano (Software)
langgraph,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,Langgraph
lemmatization,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Lemmatization
deep learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Deep Learning Methods
ai alignment,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,AI Alignment
machine learning model monitoring and evaluation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Machine Learning Model Monitoring And Evaluation
GNNs,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Graph Neural Networks (GNNs)
microsoft certified: azure ai engineer associate,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Microsoft Certified: Azure AI Engineer Associate
lightgbm,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,LightGBM
lgbmclassifier,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,LightGBM
gpt-4,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,GPT-4
gpt-o4,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,GPT-4
gpt-o1,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,GPT-4
word-sense disambiguation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Word-Sense Disambiguation
word sense disambiguation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Word-Sense Disambiguation
tensorflow,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,TensorFlow
TFLite,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,TensorFlow
TF-Serving,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,TensorFlow
aws certified machine learning specialty,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,AWS Certified Machine Learning Specialty
LLM,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Large Language Modeling
large language model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Large Language Modeling
LLMs,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Large Language Modeling
stable diffusion,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Stable Diffusion
SDXL,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Stable Diffusion
ai literacy,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,AI Literacy
multi-core smp,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Multi-Core SMP
multicore smp,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Multi-Core SMP
multi-core symmetric multiprocessing,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Multi-Core SMP
instance segmentation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Instance Segmentation
instance-level segmentation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Instance Segmentation
nuance nina,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Nuance Nina Virtual Assistant
nuance nina virtual assistant,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Nuance Nina Virtual Assistant
ml model training,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Machine Learning Model Training
machine learning model training,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Machine Learning Model Training
semi-supervised learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Semi-Supervised Learning
semisupervised learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Semi-Supervised Learning
semi supervised learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Semi-Supervised Learning
training dataset,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Training Datasets
google bard,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Google Bard
google gemini,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Google Bard
ai research,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,AI Research
generative ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Generative AI Agents
ai agent,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,Generative AI Agents
ai agents,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,Generative AI Agents
LLM agent,tier1,Case-sensitive matching; keyword cannot be part of a longer word,Agent,Generative AI Agents
LLM agents,tier1,Case-sensitive matching; keyword cannot be part of a longer word,Agent,Generative AI Agents
relation extraction,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Relation Extraction
relationship extraction,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Relation Extraction
amelia (ipsoft),tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Amelia (IPSoft)
amelia ipsoft,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Amelia (IPSoft)
